"CHLOROPHYLL-SPECIFIC ABSORPTION" coefficient, achl*(wavelength) in m^2/mg, 
based on the equation: abs(chl) = A x Chl^(-B) x Chl  =A x Chl^(1-B) 




this lines are leave blank to consistent with other IOP files

#LakeErie (all 304 samples)
wavelength(nm)	A	B
448	0.054586099	0.268542175
447	0.05576735	0.266081062
446	0.056901378	0.26345116
445	0.058180139	0.262048204
444	0.058895737	0.259584212
443	0.059763538	0.258709407
442	0.060866926	0.258369512
441	0.061281799	0.256610917
440	0.062059942	0.257274282
439	0.062428928	0.257167898
438	0.062291582	0.256059166
437	0.062394225	0.255793369
436	0.062424289	0.256029641
435	0.062394949	0.256298288
434	0.062410148	0.256776388
433	0.061688271	0.255294119
432	0.061102335	0.253684139
431	0.060482784	0.251642475
430	0.06015256	0.251036803
429	0.059843051	0.250300696
428	0.059478127	0.249161406
427	0.059053125	0.247817047
426	0.058627365	0.245392217
425	0.058468696	0.244703149
424	0.058318627	0.243763135
423	0.057970288	0.241745719
422	0.058259251	0.242230675
421	0.058199633	0.241440408
420	0.058038861	0.239940641
419	0.057939016	0.239914906
418	0.057837961	0.239423916
417	0.057732223	0.239213422
416	0.057345657	0.238010855
415	0.057418981	0.238700639
414	0.056789439	0.23752262
413	0.056598842	0.238039744
412	0.056277925	0.237376617
411	0.055941253	0.23731798
410	0.055444789	0.236821904
409	0.05470997	0.235692568
408	0.054496762	0.236437143
407	0.053922041	0.235681669
406	0.05344894	0.234869799
405	0.053272624	0.235151907
404	0.052912047	0.235012916
403	0.052483723	0.233470471
402	0.051796353	0.231390657
401	0.052157501	0.232983487
400	0.051423551	0.230250083
399	0.051862701	0.232653765
398	0.051715798	0.232233328
397	0.051571875	0.231376102
396	0.051319014	0.229940667
395	0.051639218	0.230888974
394	0.051290418	0.228779909
393	0.051672222	0.230709111
392	0.051943524	0.230593071
391	0.05144052	0.228102254
390	0.052472434	0.232169481
389	0.052347814	0.230814145
388	0.052542661	0.231373893
387	0.052090689	0.228997544
386	0.05261179	0.230745751
385	0.053152374	0.231815095
384	0.052765965	0.229662183
383	0.05314307	0.231278721
382	0.052789224	0.228278452
381	0.053165059	0.230300593
380	0.053601952	0.2316559
379	0.052990406	0.229526761
378	0.053282534	0.229760882
377	0.0531719	0.229915723
376	0.053347083	0.230946956
375	0.053384682	0.231351553
374	0.052384729	0.228163949
373	0.053024472	0.230764484
372	0.053409131	0.233352905
371	0.053225514	0.232792144
370	0.053249522	0.233608552
369	0.052756409	0.230170896
368	0.052339583	0.22922701
367	0.05256197	0.230633921
366	0.053292659	0.231892532
365	0.051547263	0.22473319
364	0.053003483	0.231656507
363	0.051857542	0.225498434
362	0.052399029	0.227810862
361	0.052262684	0.226630366
360	0.051357421	0.223019268
359	0.051097679	0.221751243
358	0.053832346	0.231104063
357	0.053203167	0.22709557
356	0.053781171	0.228135801
355	0.055770828	0.238148052
354	0.053790318	0.2240574
353	0.054701964	0.224537592
352	0.056445826	0.236005663
351	0.054822181	0.219329253
350	0.056469439	0.224651711
349	0.057267277	0.226944501
348	0.060549874	0.229755518
347	0.058676634	0.215319303
346	0.060194108	0.218538221
345	0.060787727	0.215997696
344	0.061920423	0.215993901
343	0.062991353	0.216195754
342	0.064741028	0.219525828
341	0.064539761	0.217586677
340	0.066773943	0.222336033
339	0.06643322	0.221166211
338	0.066550046	0.217996522
337	0.066201371	0.215593972
336	0.06754607	0.21884008
335	0.065495151	0.209610292
334	0.066471275	0.21610206
333	0.065422114	0.212577819
332	0.065318703	0.212105389
331	0.066318866	0.215144586
330	0.065878833	0.213165061
329	0.067671561	0.220369057
328	0.06454047	0.209636334
327	0.06844625	0.228076547
326	0.065634671	0.21502675
325	0.065751528	0.217932553
324	0.065171621	0.216526127
323	0.061508442	0.201642809
322	0.064336695	0.215892418
321	0.062024343	0.206698816
320	0.062341712	0.208095969
319	0.061867779	0.207131304
318	0.062865081	0.212120075
317	0.062200575	0.209677597
316	0.062174834	0.214373679
315	0.062356745	0.216153337
314	0.058322959	0.197661414
313	0.060780092	0.211394412
312	0.058055602	0.196812192
311	0.063817077	0.225367379
310	0.063619891	0.225427421
309	0.066144578	0.233957327
308	0.064230194	0.230121993
307	0.064685765	0.23002118
306	0.069039798	0.245674869
305	0.066582088	0.241633939
304	0.068995408	0.25067314
303	0.068073966	0.24841574
302	0.075910842	0.279115988
301	0.075143662	0.276235556
300	0.07727782	0.285945732
-1 -1
